Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude,
97752,Post,Oregon,OR,Crook,44.0793,-120.2998,
97753,Powell Butte,Oregon,OR,Crook,44.2415,-121.0113,
97754,Prineville,Oregon,OR,Crook,44.3044,-120.8336,
97756,Redmond,Oregon,OR,Deschutes,44.2767,-121.1896,
97758,Riley,Oregon,OR,Harney,43.3886,-119.8798,
97759,Sisters,Oregon,OR,Deschutes,44.3165,-121.5091,
97760,Terrebonne,Oregon,OR,Deschutes,44.3909,-121.2379,
97761,Warm Springs,Oregon,OR,Jefferson,44.7468,-121.2909,
97801,Pendleton,Oregon,OR,Umatilla,45.6605,-118.7831,
97810,Adams,Oregon,OR,Umatilla,45.7497,-118.6176,
97812,Arlington,Oregon,OR,Gilliam,45.6664,-120.1971,
97813,Athena,Oregon,OR,Umatilla,45.8289,-118.4971,
97814,Baker City,Oregon,OR,Baker,44.7542,-117.7427,
97817,Bates,Oregon,OR,Grant,44.7138,-118.6469,
97818,Boardman,Oregon,OR,Morrow,45.8272,-119.7206,
97819,Bridgeport,Oregon,OR,Baker,44.4931,-117.7655,
97820,Canyon City,Oregon,OR,Grant,44.3911,-118.9465,
97821,Cayuse,Oregon,OR,Umatilla,45.6833,-118.4581,
97823,Condon,Oregon,OR,Gilliam,45.2306,-120.1898,
97824,Cove,Oregon,OR,Union,45.3199,-117.8147,
97825,Dayville,Oregon,OR,Grant,44.4663,-119.5312,
97826,Echo,Oregon,OR,Umatilla,45.7411,-119.1949,
97827,Elgin,Oregon,OR,Union,45.5941,-117.9112,
97828,Enterprise,Oregon,OR,Wallowa,45.437,-117.2888,
97830,Fossil,Oregon,OR,Wheeler,44.9286,-120.1309,
97831,Fox,Oregon,OR,Grant,44.4778,-118.9478,
97833,Haines,Oregon,OR,Baker,44.8776,-117.9756,
97834,Halfway,Oregon,OR,Baker,44.8953,-117.1132,
97835,Helix,Oregon,OR,Umatilla,45.8665,-118.7222,
97836,Heppner,Oregon,OR,Morrow,45.3486,-119.5369,
97837,Hereford,Oregon,OR,Baker,44.5304,-118.0293,
97838,Hermiston,Oregon,OR,Umatilla,45.845,-119.2849,
97839,Lexington,Oregon,OR,Morrow,45.4264,-119.7464,
97840,Oxbow,Oregon,OR,Baker,44.9633,-116.8436,
97841,Imbler,Oregon,OR,Union,45.4599,-117.9544,
97842,Imnaha,Oregon,OR,Wallowa,45.5137,-116.8257,
97843,Ione,Oregon,OR,Morrow,45.5403,-119.769,
97844,Irrigon,Oregon,OR,Morrow,45.8877,-119.507,
97845,John Day,Oregon,OR,Grant,44.55,-118.9148,
97846,Joseph,Oregon,OR,Wallowa,45.3494,-117.2128,
97848,Kimberly,Oregon,OR,Grant,44.7226,-119.5965,
97850,La Grande,Oregon,OR,Union,45.3304,-118.0852,
97856,Long Creek,Oregon,OR,Grant,44.7554,-119.097,
97857,Lostine,Oregon,OR,Wallowa,45.4939,-117.4359,
97859,Meacham,Oregon,OR,Umatilla,45.5215,-118.4335,
97861,Mikkalo,Oregon,OR,Gilliam,45.4388,-120.2067,
97862,Milton Freewater,Oregon,OR,Umatilla,45.9486,-118.3912,
97864,Monument,Oregon,OR,Grant,44.8189,-119.4192,
97865,Mount Vernon,Oregon,OR,Grant,44.4171,-119.1121,
97867,North Powder,Oregon,OR,Union,45.0317,-117.9337,
97868,Pilot Rock,Oregon,OR,Umatilla,45.4227,-118.8483,
97869,Prairie City,Oregon,OR,Grant,44.457,-118.6952,
97870,Richland,Oregon,OR,Baker,44.797,-117.3018,
97872,Ritter,Oregon,OR,Grant,44.4778,-118.9478,
97873,Seneca,Oregon,OR,Grant,44.1196,-119.1223,
97874,Spray,Oregon,OR,Wheeler,44.8242,-119.8303,
97875,Stanfield,Oregon,OR,Umatilla,45.786,-119.2116,
97876,Summerville,Oregon,OR,Union,45.5077,-118.027,
97877,Sumpter,Oregon,OR,Baker,44.7926,-118.3394,
97880,Ukiah,Oregon,OR,Umatilla,45.0836,-118.894,
97882,Umatilla,Oregon,OR,Umatilla,45.8998,-119.3553,
97883,Union,Oregon,OR,Union,45.2019,-117.8536,
97884,Unity,Oregon,OR,Baker,44.4491,-118.1627,
97885,Wallowa,Oregon,OR,Wallowa,45.5717,-117.5357,
97886,Weston,Oregon,OR,Umatilla,45.8074,-118.3733,
97901,Adrian,Oregon,OR,Malheur,43.6537,-117.0602,
97902,Arock,Oregon,OR,Malheur,42.9156,-117.498,
97903,Brogan,Oregon,OR,Malheur,44.1994,-117.5904,
97904,Drewsey,Oregon,OR,Harney,43.8643,-118.4707,
97905,Durkee,Oregon,OR,Baker,44.4988,-117.4129,
97906,Harper,Oregon,OR,Malheur,43.8734,-117.5284,
97907,Huntington,Oregon,OR,Baker,44.3811,-117.3097,
97908,Ironside,Oregon,OR,Malheur,44.3009,-117.9444,
97909,Jamieson,Oregon,OR,Malheur,44.2161,-117.4813,
97910,Jordan Valley,Oregon,OR,Malheur,42.8801,-117.281,
97911,Juntura,Oregon,OR,Malheur,43.8253,-118.0921,
97913,Nyssa,Oregon,OR,Malheur,43.8604,-117.0251,
97914,Ontario,Oregon,OR,Malheur,44.0416,-116.9783,
97917,Riverside,Oregon,OR,Malheur,43.5099,-118.0986,
97918,Vale,Oregon,OR,Malheur,44.0039,-117.2674,
97920,Westfall,Oregon,OR,Malheur,43.9922,-117.6877,
98001,Auburn,Washington,WA,King,47.3099,-122.2653,
98002,Auburn,Washington,WA,King,47.305,-122.2067,
98003,Federal Way,Washington,WA,King,47.3203,-122.3117,
98004,Bellevue,Washington,WA,King,47.6155,-122.2072,
98005,Bellevue,Washington,WA,King,47.615,-122.1663,
98006,Bellevue,Washington,WA,King,47.5614,-122.1552,
98007,Bellevue,Washington,WA,King,47.6174,-122.1426,
98008,Bellevue,Washington,WA,King,47.6115,-122.1162,
98009,Bellevue,Washington,WA,King,47.4323,-121.8034,
98010,Black Diamond,Washington,WA,King,47.3114,-122.0053,
98011,Bothell,Washington,WA,King,47.7497,-122.2159,
98012,Bothell,Washington,WA,Snohomish,47.8401,-122.1972,
98013,Burton,Washington,WA,King,47.4323,-121.8034,
98014,Carnation,Washington,WA,King,47.638,-121.9111,
98015,Bellevue,Washington,WA,King,47.4323,-121.8034,
98019,Duvall,Washington,WA,King,47.725,-121.9369,
98020,Edmonds,Washington,WA,Snohomish,47.8061,-122.3724,
98021,Bothell,Washington,WA,Snohomish,47.7918,-122.2243,
98022,Enumclaw,Washington,WA,King,47.2665,-122.0314,
98023,Federal Way,Washington,WA,King,47.3104,-122.3612,
98024,Fall City,Washington,WA,King,47.5682,-121.8896,
98025,Hobart,Washington,WA,King,47.5916,-122.056,
98026,Edmonds,Washington,WA,Snohomish,47.8353,-122.327,
98027,Issaquah,Washington,WA,King,47.4974,-122.0107,
98028,Kenmore,Washington,WA,King,47.7542,-122.2475,
98029,Issaquah,Washington,WA,King,47.5585,-122.0055,
98030,Kent,Washington,WA,King,47.3866,-122.2109,
98031,Kent,Washington,WA,King,47.388,-122.1932,
98032,Kent,Washington,WA,King,47.3776,-122.2854,
98033,Kirkland,Washington,WA,King,47.6786,-122.1894,
98034,Kirkland,Washington,WA,King,47.7188,-122.1966,
98035,Kent,Washington,WA,King,47.4323,-121.8034,
98036,Lynnwood,Washington,WA,Snohomish,47.8049,-122.2855,
98037,Lynnwood,Washington,WA,Snohomish,47.8392,-122.2855,
98038,Maple Valley,Washington,WA,King,47.3845,-122.0574,
98039,Medina,Washington,WA,King,47.6269,-122.2314,
98040,Mercer Island,Washington,WA,King,47.5602,-122.2281,
98041,Bothell,Washington,WA,King,47.4323,-121.8034,
98042,Kent,Washington,WA,King,47.368,-122.1206,
98043,Mountlake Terrace,Washington,WA,Snohomish,47.7933,-122.3076,
98045,North Bend,Washington,WA,King,47.4755,-121.7571,
98046,Lynnwood,Washington,WA,Snohomish,48.0373,-121.6823,
98047,Pacific,Washington,WA,King,47.2666,-122.2435,
98050,Preston,Washington,WA,King,47.536,-121.9312,
98051,Ravensdale,Washington,WA,King,47.3407,-121.8874,
98052,Redmond,Washington,WA,King,47.6718,-122.1232,
98053,Redmond,Washington,WA,King,47.6462,-122.0386,
98054,Redondo,Washington,WA,King,47.4323,-121.8034,
98055,Renton,Washington,WA,King,47.4648,-122.2075,
98056,Renton,Washington,WA,King,47.5073,-122.1819,
98057,Renton,Washington,WA,King,47.4714,-122.2203,
98058,Renton,Washington,WA,King,47.4465,-122.1216,
98059,Renton,Washington,WA,King,47.5058,-122.1157,
98060,Seattle,Washington,WA,King,47.4323,-121.8034,
98061,Rollingbay,Washington,WA,Kitsap,47.6808,-122.5762,
98062,Seahurst,Washington,WA,King,47.4323,-121.8034,
98063,Federal Way,Washington,WA,King,47.4323,-121.8034,
98064,Kent,Washington,WA,King,47.4323,-121.8034,
98065,Snoqualmie,Washington,WA,King,47.5293,-121.8225,
98068,Snoqualmie Pass,Washington,WA,King,47.4452,-121.431,
98070,Vashon,Washington,WA,King,47.4259,-122.4644,
98071,Auburn,Washington,WA,King,47.4323,-121.8034,
98072,Woodinville,Washington,WA,King,47.7684,-122.1271,
98073,Redmond,Washington,WA,King,47.4323,-121.8034,
98074,Sammamish,Washington,WA,King,47.6254,-122.0462,
98075,Sammamish,Washington,WA,King,47.5857,-122.0345,
98077,Woodinville,Washington,WA,King,47.7529,-122.0582,
98082,Bothell,Washington,WA,King,47.4323,-121.8034,
98083,Kirkland,Washington,WA,King,47.4323,-121.8034,
98087,Lynnwood,Washington,WA,,47.862,-122.2532,
98089,Kent,Washington,WA,,47.3871,-122.2023,
98092,Auburn,Washington,WA,King,47.2884,-122.098,
98093,Federal Way,Washington,WA,King,47.311,-122.1138,
98101,Seattle,Washington,WA,King,47.6114,-122.3305,
98102,Seattle,Washington,WA,King,47.6302,-122.321,
98103,Seattle,Washington,WA,King,47.6734,-122.3426,
98104,Seattle,Washington,WA,King,47.6036,-122.3256,
98105,Seattle,Washington,WA,King,47.6633,-122.3022,
98106,Seattle,Washington,WA,King,47.5344,-122.3547,
98107,Seattle,Washington,WA,King,47.6701,-122.3763,
98108,Seattle,Washington,WA,King,47.5413,-122.3129,
98109,Seattle,Washington,WA,King,47.6339,-122.3476,
98110,Bainbridge Island,Washington,WA,Kitsap,47.6478,-122.538,
98111,Seattle,Washington,WA,King,47.4323,-121.8034,
98112,Seattle,Washington,WA,King,47.6301,-122.2972,
98113,Seattle,Washington,WA,,47.6716,-122.3411,
98114,Seattle,Washington,WA,King,47.4323,-121.8034,
98115,Seattle,Washington,WA,King,47.6849,-122.2968,
98116,Seattle,Washington,WA,King,47.5746,-122.3934,
98117,Seattle,Washington,WA,King,47.6873,-122.3772,
98118,Seattle,Washington,WA,King,47.5412,-122.275,
98119,Seattle,Washington,WA,King,47.6379,-122.3643,
98121,Seattle,Washington,WA,King,47.6151,-122.3447,
98122,Seattle,Washington,WA,King,47.6116,-122.3056,
98124,Seattle,Washington,WA,King,47.4323,-121.8034,
98125,Seattle,Washington,WA,King,47.717,-122.3015,
98126,Seattle,Washington,WA,King,47.5444,-122.3735,
98127,Seattle,Washington,WA,,47.6063,-122.3308,
98129,Seattle,Washington,WA,King,47.4323,-121.8034,
98130,Seattle,Washington,WA,King,47.4323,-121.8034,
98131,Seattle,Washington,WA,King,47.4323,-121.8034,
98132,Seattle,Washington,WA,King,47.4323,-121.8034,
98133,Seattle,Washington,WA,King,47.7377,-122.3431,
98134,Seattle,Washington,WA,King,47.5903,-122.3263,
98136,Seattle,Washington,WA,King,47.5398,-122.3878,
98138,Seattle,Washington,WA,King,47.4323,-121.8034,
98139,Seattle,Washington,WA,,47.6473,-122.3999,
98140,Seattle,Washington,WA,King,47.4323,-121.8034,
98141,Seattle,Washington,WA,,47.6157,-122.3445,
98144,Seattle,Washington,WA,King,47.5846,-122.3005,
98145,Seattle,Washington,WA,King,47.4323,-121.8034,
98146,Seattle,Washington,WA,King,47.4995,-122.3603,
98148,Seattle,Washington,WA,King,47.4441,-122.3249,
98150,Seattle,Washington,WA,King,47.4323,-121.8034,
98151,Seattle,Washington,WA,King,47.4323,-121.8034,
98154,Seattle,Washington,WA,King,47.4323,-121.8034,
98155,Seattle,Washington,WA,King,47.7559,-122.3003,
98158,Seattle,Washington,WA,King,47.4497,-122.3076,
98160,Seattle,Washington,WA,King,47.4323,-121.8034,
98161,Seattle,Washington,WA,King,47.4323,-121.8034,
98164,Seattle,Washington,WA,King,47.606,-122.332,
98165,Seattle,Washington,WA,,47.7161,-122.3004,
98166,Seattle,Washington,WA,King,47.4511,-122.353,
98168,Seattle,Washington,WA,King,47.4889,-122.3012,
98170,Seattle,Washington,WA,,47.6096,-122.3317,
98171,Seattle,Washington,WA,King,47.4323,-121.8034,
98174,Seattle,Washington,WA,King,47.4323,-121.8034,
98175,Seattle,Washington,WA,,47.7161,-122.3004,
98177,Seattle,Washington,WA,King,47.7467,-122.3686,
98178,Seattle,Washington,WA,King,47.4924,-122.2359,
98181,Seattle,Washington,WA,King,47.4323,-121.8034,
98184,Seattle,Washington,WA,King,47.4323,-121.8034,
98185,Seattle,Washington,WA,King,47.4323,-121.8034,
98188,Seattle,Washington,WA,King,47.4483,-122.2731,
98190,Seattle,Washington,WA,King,47.4323,-121.8034,
98191,Seattle,Washington,WA,King,47.4323,-121.8034,
98194,Seattle,Washington,WA,,47.6024,-122.326,
98195,Seattle,Washington,WA,King,47.6564,-122.3048,
98198,Seattle,Washington,WA,King,47.3929,-122.3129,
98199,Seattle,Washington,WA,King,47.6488,-122.3964,
98201,Everett,Washington,WA,Snohomish,47.9884,-122.2006,
98203,Everett,Washington,WA,Snohomish,47.9419,-122.2218,
98204,Everett,Washington,WA,Snohomish,47.9017,-122.2472,
98205,Everett,Washington,WA,Snohomish,47.9901,-122.1158,
98206,Everett,Washington,WA,Snohomish,47.8599,-122.2848,
98207,Everett,Washington,WA,Snohomish,48.0373,-121.6823,
98208,Everett,Washington,WA,Snohomish,47.8948,-122.1987,
98213,Everett,Washington,WA,,47.9451,-122.2269,
98220,Acme,Washington,WA,Whatcom,48.6752,-122.1914,
98221,Anacortes,Washington,WA,Skagit,48.5004,-122.6309,
98222,Blakely Island,Washington,WA,San Juan,48.5618,-122.812,
98223,Arlington,Washington,WA,Snohomish,48.1829,-122.1121,
98224,Baring,Washington,WA,King,47.7671,-121.4814,
98225,Bellingham,Washington,WA,Whatcom,48.749,-122.4887,
98226,Bellingham,Washington,WA,Whatcom,48.7974,-122.4448,
98227,Bellingham,Washington,WA,Whatcom,48.8148,-121.9885,
98228,Bellingham,Washington,WA,Whatcom,48.8148,-121.9885,
98229,Bellingham,Washington,WA,Whatcom,48.6952,-122.4124,
98230,Blaine,Washington,WA,Whatcom,48.9636,-122.7323,
98231,Blaine,Washington,WA,Whatcom,48.8148,-121.9885,
98232,Bow,Washington,WA,Skagit,48.562,-122.4134,
98233,Burlington,Washington,WA,Skagit,48.4786,-122.3345,
98235,Clearlake,Washington,WA,Skagit,48.4701,-122.2388,
98236,Clinton,Washington,WA,Island,47.9508,-122.3916,
98237,Concrete,Washington,WA,Skagit,48.531,-121.6643,
98238,Conway,Washington,WA,Skagit,48.34,-122.3456,
98239,Coupeville,Washington,WA,Island,48.2189,-122.6823,
98240,Custer,Washington,WA,Whatcom,48.9374,-122.6226,
98241,Darrington,Washington,WA,Snohomish,48.2395,-121.5892,
98243,Deer Harbor,Washington,WA,San Juan,48.5578,-122.9837,
98244,Deming,Washington,WA,Whatcom,48.8018,-122.0918,
98245,Eastsound,Washington,WA,San Juan,48.6656,-122.937,
98246,Bow,Washington,WA,Skagit,48.5581,-121.417,
98247,Everson,Washington,WA,Whatcom,48.9045,-122.3325,
98248,Ferndale,Washington,WA,Whatcom,48.8625,-122.5953,
98249,Freeland,Washington,WA,Island,48.0342,-122.5641,
98250,Friday Harbor,Washington,WA,San Juan,48.5454,-123.0947,
98251,Gold Bar,Washington,WA,Snohomish,47.8331,-121.6365,
98252,Granite Falls,Washington,WA,Snohomish,48.079,-121.9428,
98253,Greenbank,Washington,WA,Island,48.1004,-122.5761,
98255,Hamilton,Washington,WA,Skagit,48.5255,-121.9887,
98256,Index,Washington,WA,Snohomish,47.8118,-121.5497,
98257,La Conner,Washington,WA,Skagit,48.4093,-122.5313,
98258,Lake Stevens,Washington,WA,Snohomish,48.0171,-122.0672,
98259,North Lakewood,Washington,WA,Snohomish,48.0373,-121.6823,
98260,Langley,Washington,WA,Island,48.0187,-122.453,
98261,Lopez Island,Washington,WA,San Juan,48.4988,-122.8743,
98262,Lummi Island,Washington,WA,Whatcom,48.7128,-122.6823,
98263,Lyman,Washington,WA,Skagit,48.5345,-122.0586,
98264,Lynden,Washington,WA,Whatcom,48.9372,-122.4592,
98266,Maple Falls,Washington,WA,Whatcom,48.9533,-122.1283,
98267,Marblemount,Washington,WA,Skagit,48.4435,-121.3163,
98270,Marysville,Washington,WA,Snohomish,48.0656,-122.1562,
98271,Marysville,Washington,WA,Snohomish,48.0966,-122.198,
98272,Monroe,Washington,WA,Snohomish,47.8585,-121.9474,
98273,Mount Vernon,Washington,WA,Skagit,48.4352,-122.2082,
98274,Mount Vernon,Washington,WA,Skagit,48.3643,-122.1403,
98275,Mukilteo,Washington,WA,Snohomish,47.9199,-122.3019,
98276,Nooksack,Washington,WA,Whatcom,48.8342,-122.3357,
98277,Oak Harbor,Washington,WA,Island,48.3151,-122.6374,
98278,Oak Harbor,Washington,WA,Island,48.3402,-122.6695,
98279,Olga,Washington,WA,San Juan,48.6555,-122.8362,
98280,Orcas,Washington,WA,San Juan,48.5901,-122.941,
98281,Point Roberts,Washington,WA,Whatcom,48.9879,-123.0555,
98282,Camano Island,Washington,WA,Island,48.1761,-122.521,
98283,Rockport,Washington,WA,Skagit,48.4704,-121.5554,
98284,Sedro Woolley,Washington,WA,Skagit,48.5274,-122.2329,
98286,Shaw Island,Washington,WA,San Juan,48.5578,-122.9837,
98287,Silvana,Washington,WA,Snohomish,48.0373,-121.6823,
98288,Skykomish,Washington,WA,King,47.6922,-121.3713,
98290,Snohomish,Washington,WA,Snohomish,47.8954,-122.0716,
98291,Snohomish,Washington,WA,Snohomish,47.9095,-122.0501,
98292,Stanwood,Washington,WA,Snohomish,48.2011,-122.378,
98293,Startup,Washington,WA,Snohomish,47.8703,-121.7685,
98294,Sultan,Washington,WA,Snohomish,47.8589,-121.7369,
98295,Sumas,Washington,WA,Whatcom,48.9708,-122.2074,
98296,Snohomish,Washington,WA,Snohomish,47.8579,-122.092,
98297,Waldron,Washington,WA,San Juan,48.5578,-122.9837,
98303,Anderson Island,Washington,WA,Pierce,47.1563,-122.7067,
98304,Ashford,Washington,WA,Pierce,46.7531,-121.9898,
98305,Beaver,Washington,WA,Clallam,48.0673,-124.3054,
98310,Bremerton,Washington,WA,Kitsap,47.6019,-122.6299,
98311,Bremerton,Washington,WA,Kitsap,47.6271,-122.6373,
98312,Bremerton,Washington,WA,Kitsap,47.5754,-122.6958,
98314,Bremerton,Washington,WA,Kitsap,47.5593,-122.6492,
98315,Silverdale,Washington,WA,Kitsap,47.692,-122.7161,
98320,Brinnon,Washington,WA,Jefferson,47.6776,-122.9375,
98321,Buckley,Washington,WA,Pierce,47.1524,-122.0621,
98322,Burley,Washington,WA,Kitsap,47.688,-122.7293,
98323,Carbonado,Washington,WA,Pierce,47.0802,-122.0513,
98324,Carlsborg,Washington,WA,Clallam,48.1832,-123.873,
98325,Chimacum,Washington,WA,Jefferson,47.9861,-122.7883,
98326,Clallam Bay,Washington,WA,Clallam,48.2255,-124.2015,
98327,Dupont,Washington,WA,Pierce,47.0909,-122.6567,
98328,Eatonville,Washington,WA,Pierce,46.8708,-122.2696,
98329,Gig Harbor,Washington,WA,Pierce,47.3786,-122.7,
98330,Elbe,Washington,WA,Pierce,46.7777,-122.2023,
98331,Forks,Washington,WA,Clallam,47.9287,-124.3989,
98332,Gig Harbor,Washington,WA,Pierce,47.3607,-122.6001,
98333,Fox Island,Washington,WA,Pierce,47.248,-122.629,
98334,Sequim,Washington,WA,,48.05,-122.9145,
98335,Gig Harbor,Washington,WA,Pierce,47.3002,-122.6084,
98336,Glenoma,Washington,WA,Lewis,46.5283,-122.099,
98337,Bremerton,Washington,WA,Kitsap,47.5686,-122.6374,
98338,Graham,Washington,WA,Pierce,47.0246,-122.2936,
98339,Port Hadlock,Washington,WA,Jefferson,48.0345,-122.7682,
98340,Hansville,Washington,WA,Kitsap,47.9061,-122.5655,
98342,Indianola,Washington,WA,Kitsap,47.7514,-122.5196,
98343,Joyce,Washington,WA,Clallam,48.1832,-123.873,
98344,Kapowsin,Washington,WA,Pierce,46.9899,-122.2226,
98345,Keyport,Washington,WA,Kitsap,47.698,-122.6255,
98346,Kingston,Washington,WA,Kitsap,47.8108,-122.5255,
98348,La Grande,Washington,WA,Pierce,47.0662,-122.1132,
98349,Lakebay,Washington,WA,Pierce,47.2886,-122.7776,
98350,La Push,Washington,WA,Clallam,47.9052,-124.6261,
98351,Longbranch,Washington,WA,Pierce,47.2007,-122.7561,
98352,Sumner,Washington,WA,Pierce,47.0662,-122.1132,
98353,Manchester,Washington,WA,Kitsap,47.5952,-122.6225,
98354,Milton,Washington,WA,Pierce,47.2483,-122.3155,
98355,Mineral,Washington,WA,Lewis,46.7096,-122.1861,
98356,Morton,Washington,WA,Lewis,46.5581,-122.2496,
98357,Neah Bay,Washington,WA,Clallam,48.328,-124.6151,
98358,Nordland,Washington,WA,Jefferson,48.0432,-122.6926,
98359,Olalla,Washington,WA,Kitsap,47.4241,-122.5745,
98360,Orting,Washington,WA,Pierce,47.0822,-122.186,
98361,Packwood,Washington,WA,Lewis,46.65,-121.6553,
98362,Port Angeles,Washington,WA,Clallam,48.1065,-123.4384,
98363,Port Angeles,Washington,WA,Clallam,48.0557,-123.9178,
98364,Port Gamble,Washington,WA,Kitsap,47.8344,-122.5928,
98365,Port Ludlow,Washington,WA,Jefferson,47.9222,-122.6896,
98366,Port Orchard,Washington,WA,Kitsap,47.5427,-122.5871,
98367,Port Orchard,Washington,WA,Kitsap,47.4707,-122.651,
98368,Port Townsend,Washington,WA,Jefferson,48.104,-122.7945,
98370,Poulsbo,Washington,WA,Kitsap,47.7423,-122.6277,
98371,Puyallup,Washington,WA,Pierce,47.1991,-122.3151,
98372,Puyallup,Washington,WA,Pierce,47.2042,-122.2734,
98373,Puyallup,Washington,WA,Pierce,47.1284,-122.3219,
98374,Puyallup,Washington,WA,Pierce,47.1424,-122.2652,
98375,Puyallup,Washington,WA,Pierce,47.1037,-122.3235,
98376,Quilcene,Washington,WA,Jefferson,47.8324,-122.8583,
98377,Randle,Washington,WA,Lewis,46.5492,-121.8555,
98378,Retsil,Washington,WA,Kitsap,47.688,-122.7293,
98380,Seabeck,Washington,WA,Kitsap,47.5913,-122.8686,
98381,Sekiu,Washington,WA,Clallam,48.3032,-124.4685,
98382,Sequim,Washington,WA,Clallam,48.0881,-123.1198,
98383,Silverdale,Washington,WA,Kitsap,47.6621,-122.6981,
98384,South Colby,Washington,WA,Kitsap,47.5218,-122.5396,
98385,South Prairie,Washington,WA,Pierce,47.1383,-122.0968,
98386,Southworth,Washington,WA,Kitsap,47.5104,-122.4991,
98387,Spanaway,Washington,WA,Pierce,47.0732,-122.3943,
98388,Steilacoom,Washington,WA,Pierce,47.1704,-122.5888,
98390,Sumner,Washington,WA,Pierce,47.2099,-122.228,
98391,Bonney Lake,Washington,WA,,47.143,-122.1644,
98392,Suquamish,Washington,WA,Kitsap,47.7343,-122.5573,
98393,Tracyton,Washington,WA,Kitsap,47.6267,-122.65,
98394,Vaughn,Washington,WA,Pierce,47.3309,-122.7736,
98395,Wauna,Washington,WA,Pierce,47.266,-122.8328,
98396,Wilkeson,Washington,WA,Pierce,47.1095,-122.037,
98397,Longmire,Washington,WA,Pierce,47.0662,-122.1132,
98398,Paradise Inn,Washington,WA,Pierce,47.0662,-122.1132,
98401,Tacoma,Washington,WA,Pierce,47.2537,-122.4443,
98402,Tacoma,Washington,WA,Pierce,47.2545,-122.4405,
98403,Tacoma,Washington,WA,Pierce,47.2643,-122.4575,
98404,Tacoma,Washington,WA,Pierce,47.2113,-122.4126,
98405,Tacoma,Washington,WA,Pierce,47.2484,-122.4644,
98406,Tacoma,Washington,WA,Pierce,47.2632,-122.4993,
98407,Tacoma,Washington,WA,Pierce,47.2825,-122.5039,
98408,Tacoma,Washington,WA,Pierce,47.2073,-122.4444,
98409,Tacoma,Washington,WA,Pierce,47.2038,-122.4825,
98411,Tacoma,Washington,WA,Pierce,47.0662,-122.1132,
98412,Tacoma,Washington,WA,Pierce,47.0662,-122.1132,
98413,Tacoma,Washington,WA,Pierce,47.0662,-122.1132,
98415,Tacoma,Washington,WA,Pierce,47.0662,-122.1132,
98416,Tacoma,Washington,WA,Pierce,47.2646,-122.4821,
98417,Tacoma,Washington,WA,,47.2061,-122.4822,
98418,Tacoma,Washington,WA,Pierce,47.2232,-122.4465,
98419,Tacoma,Washington,WA,,47.2061,-122.4822,
98421,Tacoma,Washington,WA,Pierce,47.2664,-122.4015,
98422,Tacoma,Washington,WA,Pierce,47.2948,-122.3983,
98424,Tacoma,Washington,WA,Pierce,47.2325,-122.3594,
98430,Camp Murray,Washington,WA,Pierce,47.0662,-122.1132,
98431,Tacoma,Washington,WA,Pierce,47.0662,-122.1132,
98433,Tacoma,Washington,WA,Pierce,47.1125,-122.5891,
98434,Tacoma,Washington,WA,Pierce,47.0662,-122.1132,
98438,Tacoma,Washington,WA,Pierce,47.1316,-122.497,
98439,Lakewood,Washington,WA,Pierce,47.1287,-122.5103,
98442,Tacoma,Washington,WA,Pierce,47.3081,-122.4185,
98443,Tacoma,Washington,WA,Pierce,47.2044,-122.3728,
98444,Tacoma,Washington,WA,Pierce,47.1464,-122.4572,
98445,Tacoma,Washington,WA,Pierce,47.1291,-122.4094,
98446,Tacoma,Washington,WA,Pierce,47.1285,-122.3736,
98447,Tacoma,Washington,WA,Pierce,47.1441,-122.4434,
98448,Tacoma,Washington,WA,,47.2061,-122.4822,
98450,Tacoma,Washington,WA,Pierce,47.0662,-122.1132,
98455,Tacoma,Washington,WA,Pierce,47.0662,-122.1132,
98460,Tacoma,Washington,WA,Pierce,47.0662,-122.1132,
98464,Tacoma,Washington,WA,Pierce,47.0662,-122.1132,
98465,Tacoma,Washington,WA,Pierce,47.2491,-122.5273,
98466,Tacoma,Washington,WA,Pierce,47.228,-122.5396,
98467,University Place,Washington,WA,Pierce,47.2033,-122.5688,
98471,Tacoma,Washington,WA,Pierce,47.0662,-122.1132,
98477,Tacoma,Washington,WA,Pierce,47.0662,-122.1132,
98481,Tacoma,Washington,WA,Pierce,47.0662,-122.1132,
98490,Tacoma,Washington,WA,,47.2061,-122.4822,
98492,Lakewood,Washington,WA,Pierce,47.0662,-122.1132,
98493,Tacoma,Washington,WA,Pierce,47.0662,-122.1132,
98494,Tacoma,Washington,WA,Pierce,47.0662,-122.1132,
98496,Lakewood,Washington,WA,,47.1666,-122.5089,
98497,Lakewood,Washington,WA,Pierce,47.0662,-122.1132,
98498,Lakewood,Washington,WA,Pierce,47.1591,-122.5485,
98499,Lakewood,Washington,WA,Pierce,47.1677,-122.5024,
98501,Olympia,Washington,WA,Thurston,47.0129,-122.8763,
98502,Olympia,Washington,WA,Thurston,47.1043,-123.0552,
98503,Lacey,Washington,WA,Thurston,47.024,-122.7827,
98504,Olympia,Washington,WA,Thurston,46.9781,-122.7024,
98505,Olympia,Washington,WA,Thurston,47.0654,-122.9762,
98506,Olympia,Washington,WA,Thurston,47.1042,-122.87,
98507,Olympia,Washington,WA,Thurston,46.9781,-122.7024,
98508,Olympia,Washington,WA,Thurston,46.9781,-122.7024,
98509,Lacey,Washington,WA,Thurston,46.9781,-122.7024,
